densidade,batch_id,id,timestamp,timedelta
86856472,3645,1,2021-06-10T12:02:25,43345
86856472,3654,1,2021-06-10T12:08:54,43734
86856472,3663,1,2021-06-10T12:15:22,44122
86856472,3672,1,2021-06-10T12:21:49,44509
86712528,3681,1,2021-06-10T12:28:18,44898
86856472,3690,1,2021-06-10T12:34:45,45285
86856472,3699,1,2021-06-10T12:41:17,45677
86856472,3708,1,2021-06-10T12:47:46,46066
86856472,3717,1,2021-06-10T12:54:15,46455
86856472,3726,1,2021-06-10T13:00:44,46844
86712528,3735,1,2021-06-10T13:07:14,47234
86856472,3744,1,2021-06-10T13:13:43,47623
86856472,3753,1,2021-06-10T13:20:12,48012
86856472,3762,1,2021-06-10T13:26:40,48400
86856472,3771,1,2021-06-10T13:33:08,48788
86856472,3780,1,2021-06-10T13:39:36,49176
86856472,3789,1,2021-06-10T13:46:04,49564
87000672,3798,1,2021-06-10T13:52:33,49953
86856472,3807,1,2021-06-10T13:59:02,50342
86856472,3816,1,2021-06-10T14:05:32,50732
86856472,3825,1,2021-06-10T14:12:01,51121
86856472,3834,1,2021-06-10T14:18:32,51512
87000672,3843,1,2021-06-10T14:25:02,51902
87000672,3852,1,2021-06-10T14:31:31,52291
87000672,3861,1,2021-06-10T14:37:59,52679
87000672,3870,1,2021-06-10T14:44:27,53067
87000672,3879,1,2021-06-10T14:50:56,53456
87000672,3888,1,2021-06-10T14:57:24,53844
87000672,3897,1,2021-06-10T15:03:53,54233
87000672,3906,1,2021-06-10T15:10:24,54624
87000672,3915,1,2021-06-10T15:16:55,55015
87145160,3924,1,2021-06-10T15:23:24,55404
87000672,3933,1,2021-06-10T15:29:53,55793
87000672,3942,1,2021-06-10T15:36:21,56181
87000672,3951,1,2021-06-10T15:42:49,56569
87000672,3960,1,2021-06-10T15:49:16,56956
87145160,3969,1,2021-06-10T15:55:46,57346
87000672,3978,1,2021-06-10T16:02:13,57733
87145160,3987,1,2021-06-10T16:08:42,58122
87145160,3996,1,2021-06-10T16:15:09,58509
87145160,4005,1,2021-06-10T16:21:38,58898
87000672,4014,1,2021-06-10T16:28:06,59286
87000672,4023,1,2021-06-10T16:34:36,59676
87000672,4032,1,2021-06-10T16:41:05,60065
87000672,4041,1,2021-06-10T16:47:33,60453
87000672,4050,1,2021-06-10T16:54:00,60840
87000672,4059,1,2021-06-10T17:00:29,61229
87000672,4068,1,2021-06-10T17:06:57,61617
87000672,4077,1,2021-06-10T17:13:26,62006
87000672,4086,1,2021-06-10T17:19:54,62394
87000672,4095,1,2021-06-10T17:26:23,62783
87000672,4104,1,2021-06-10T17:32:52,63172
87000672,4113,1,2021-06-10T17:39:22,63562
87000672,4122,1,2021-06-10T17:45:51,63951
87145160,4131,1,2021-06-10T17:52:21,64341
87145160,4140,1,2021-06-10T17:58:51,64731
87145160,4149,1,2021-06-10T18:05:28,65128
87145160,4158,1,2021-06-10T18:11:56,65516
87145160,4167,1,2021-06-10T18:18:27,65907
49877208,4176,1,2021-06-10T18:24:57,66297
46442312,4185,1,2021-06-10T18:31:27,66687
52068224,4194,1,2021-06-10T19:09:34,68974
10259345,4203,1,2021-06-10T19:54:32,71672
10359302,4212,1,2021-06-10T20:39:33,74373
10398942,4221,1,2021-06-10T21:24:32,77072
10410349,4230,1,2021-06-10T22:09:32,79772
10567905,4239,1,2021-06-10T22:54:32,82472
10591824,4248,1,2021-06-10T23:39:32,85172
10682884,4257,1,2021-06-11T00:24:32,87872
10707537,4266,1,2021-06-11T01:09:34,90574
10788749,4275,1,2021-06-11T01:54:32,93272
10858798,4284,1,2021-06-11T02:39:32,95972
10962918,4293,1,2021-06-11T03:24:32,98672
11069754,4302,1,2021-06-11T04:09:32,101372
11200257,4311,1,2021-06-11T04:54:32,104072
11221233,4320,1,2021-06-11T05:39:32,106772
11334844,4329,1,2021-06-11T06:24:32,109472
11466245,4338,1,2021-06-11T07:09:32,112172
11458842,4347,1,2021-06-11T07:54:32,114872
11601568,4356,1,2021-06-11T08:39:32,117572
11694029,4365,1,2021-06-11T09:24:32,120272
11868354,4374,1,2021-06-11T10:09:33,122973
11925159,4383,1,2021-06-11T10:54:32,125672
12142014,4392,1,2021-06-11T11:39:32,128372
12184800,4401,1,2021-06-11T12:24:32,131072
12341810,4410,1,2021-06-11T13:09:33,133773
