ph,batch_id,id,timestamp,timedelta
9.32,3789,1,2021-06-10T13:46:04,49564
9.32,3798,1,2021-06-10T13:52:33,49953
9.33,3807,1,2021-06-10T13:59:02,50342
9.33,3816,1,2021-06-10T14:05:32,50732
9.33,3825,1,2021-06-10T14:12:01,51121
9.33,3834,1,2021-06-10T14:18:32,51512
9.34,3843,1,2021-06-10T14:25:02,51902
9.34,3852,1,2021-06-10T14:31:31,52291
9.35,3861,1,2021-06-10T14:37:59,52679
9.35,3870,1,2021-06-10T14:44:27,53067
9.35,3879,1,2021-06-10T14:50:56,53456
9.35,3888,1,2021-06-10T14:57:24,53844
9.35,3897,1,2021-06-10T15:03:53,54233
9.35,3906,1,2021-06-10T15:10:24,54624
9.36,3915,1,2021-06-10T15:16:55,55015
9.36,3924,1,2021-06-10T15:23:24,55404
9.36,3933,1,2021-06-10T15:29:53,55793
9.36,3942,1,2021-06-10T15:36:21,56181
9.37,3951,1,2021-06-10T15:42:49,56569
9.37,3960,1,2021-06-10T15:49:16,56956
9.37,3969,1,2021-06-10T15:55:46,57346
9.37,3978,1,2021-06-10T16:02:13,57733
9.38,3987,1,2021-06-10T16:08:42,58122
9.38,3996,1,2021-06-10T16:15:09,58509
9.38,4005,1,2021-06-10T16:21:38,58898
9.38,4014,1,2021-06-10T16:28:06,59286
9.39,4023,1,2021-06-10T16:34:36,59676
9.39,4032,1,2021-06-10T16:41:05,60065
9.39,4041,1,2021-06-10T16:47:33,60453
9.39,4050,1,2021-06-10T16:54:00,60840
9.39,4059,1,2021-06-10T17:00:29,61229
9.4,4068,1,2021-06-10T17:06:57,61617
9.4,4077,1,2021-06-10T17:13:26,62006
9.4,4086,1,2021-06-10T17:19:54,62394
9.4,4095,1,2021-06-10T17:26:23,62783
9.4,4104,1,2021-06-10T17:32:52,63172
9.41,4113,1,2021-06-10T17:39:22,63562
9.41,4122,1,2021-06-10T17:45:51,63951
9.41,4131,1,2021-06-10T17:52:21,64341
9.41,4140,1,2021-06-10T17:58:51,64731
9.4,4149,1,2021-06-10T18:05:28,65128
9.38,4158,1,2021-06-10T18:11:56,65516
9.38,4167,1,2021-06-10T18:18:27,65907
5.58,4176,1,2021-06-10T18:24:57,66297
5.23,4185,1,2021-06-10T18:31:27,66687
7.82,4194,1,2021-06-10T19:09:34,68974
7.9,4203,1,2021-06-10T19:54:32,71672
7.99,4212,1,2021-06-10T20:39:33,74373
8.02,4221,1,2021-06-10T21:24:32,77072
8.01,4230,1,2021-06-10T22:09:32,79772
8.02,4239,1,2021-06-10T22:54:32,82472
8.03,4248,1,2021-06-10T23:39:32,85172
8.05,4257,1,2021-06-11T00:24:32,87872
8.06,4266,1,2021-06-11T01:09:34,90574
8.07,4275,1,2021-06-11T01:54:32,93272
8.08,4284,1,2021-06-11T02:39:32,95972
8.09,4293,1,2021-06-11T03:24:32,98672
8.09,4302,1,2021-06-11T04:09:32,101372
8.09,4311,1,2021-06-11T04:54:32,104072
8.1,4320,1,2021-06-11T05:39:32,106772
8.1,4329,1,2021-06-11T06:24:32,109472
8.11,4338,1,2021-06-11T07:09:32,112172
8.12,4347,1,2021-06-11T07:54:32,114872
8.13,4356,1,2021-06-11T08:39:32,117572
8.13,4365,1,2021-06-11T09:24:32,120272
8.15,4374,1,2021-06-11T10:09:33,122973
8.16,4383,1,2021-06-11T10:54:32,125672
8.17,4392,1,2021-06-11T11:39:32,128372
8.2,4401,1,2021-06-11T12:24:32,131072
8.23,4410,1,2021-06-11T13:09:33,133773
8.26,4419,1,2021-06-11T13:54:32,136472
8.29,4428,1,2021-06-11T14:39:32,139172
8.3,4437,1,2021-06-11T15:24:33,141873
8.31,4446,1,2021-06-11T16:09:32,144572
8.22,4455,1,2021-06-11T16:54:32,147272
8.26,4464,1,2021-06-11T17:39:32,149972
8.23,4473,1,2021-06-11T18:24:34,152674
8.32,4482,1,2021-06-11T22:03:09,165789
8.39,4491,1,2021-06-11T22:48:09,168489
8.42,4500,1,2021-06-11T23:33:09,171189
8.44,4509,1,2021-06-12T00:18:09,173889
8.47,4518,1,2021-06-12T01:03:09,176589
