id,batch_id,diff,timedelta
1,2646,142360,164
1,2682,142360,1722
1,2763,142640,5226
1,2835,142896,8335
1,2916,142896,11835
1,2970,142896,14173
1,3042,143152,17286
1,3051,143152,17674
1,3141,143152,21563
1,3285,143416,27781
1,3303,143416,28555
1,3429,143680,33997
1,3519,143680,37895
1,3609,143944,41788
1,3708,143944,46066
1,3717,143944,46455
1,3726,143944,46844
1,3798,144200,49953
1,3924,144488,55404
1,3969,144488,57346
1,3987,144488,58122
1,4158,144488,65516
1,4194,4919568,68974
1,4212,28049,74373
1,4221,112113,77072
1,4239,111570,82472
1,4248,41758,85172
1,4257,97054,87872
1,4275,31435,93272
1,4284,57405,95972
1,4293,84801,98672
1,4302,100238,101372
1,4311,110164,104072
1,4320,110701,106772
1,4329,113611,109472
1,4338,102533,112172
1,4347,44156,114872
1,4356,68160,117572
1,4365,107694,120272
1,4374,127407,122973
1,4383,136829,125672
1,4392,175873,128372
1,4401,102092,131072
1,4410,87809,133773
1,4419,180980,136472
1,4428,129470,139172
1,4437,219418,141873
1,4446,234613,144572
1,4455,194557,147272
1,4464,270564,149972
1,4473,272126,152674
1,4482,1318720,165789
1,4491,321758,168489
1,4500,359596,171189
1,4509,320520,173889
1,4518,287355,176589
1,4527,311306,179290
1,4536,360866,181989
1,4545,412744,184689
1,4554,481364,187389
1,4563,503892,190089
1,4572,625796,192789
1,4581,550380,195489
1,4590,468320,198189
1,4599,644778,200890
1,4608,442386,203590
1,4617,657288,206289
1,4626,509506,208990
1,4635,712234,211689
1,4644,856688,214391
1,4653,657560,217089
1,4662,810224,219789
1,4671,935690,222489
1,4680,811890,225189
1,4689,952026,227889
1,4698,990514,230591
1,4707,1135906,233290
1,4716,1034966,235990
1,4725,839094,238689
1,4734,1122666,241389
1,4743,908620,244089
1,4752,986120,246789
1,4761,975158,249491
1,4770,817076,252189
1,4779,896316,254889
1,4788,929476,257589
1,4797,1167440,260290
1,4806,1259980,262989
1,4815,1071568,265689
1,4824,1219376,268389
1,4833,955620,271089
1,4842,670884,273790
1,4851,754216,276489
1,4860,899388,279189
1,4869,721632,281889
1,4878,1003996,284589
1,4887,955192,287289
1,4896,835328,289990
1,4905,781956,292689
1,4914,864812,295389
1,4923,809572,298089
1,4932,821484,300789
1,4941,680772,303489
1,4950,848960,306189
1,4959,785296,308889
1,4968,715216,311589
1,4977,807136,314290
1,4986,654016,316990
1,4995,662448,319689
1,5004,755552,322389
1,5013,595220,325089
1,5022,687132,327789
1,5031,783712,330489
1,5040,704972,333190
1,5049,534564,335889
1,5058,721952,338589
1,5067,635764,341289
1,5076,367640,343989
1,5085,555520,346689
1,5094,560628,349389
1,5103,663112,352089
1,5112,382056,354791
1,5121,769740,357489
1,5130,582612,360189
1,5139,487744,362890
1,5148,393420,365590
1,5157,496760,368289
1,5166,498584,370989
1,5175,503180,373689
1,5184,404392,376390
1,5193,408112,379089
1,5202,411116,381789
1,5211,309756,384489
1,5220,415660,387189
1,5229,417192,389889
1,5238,210124,392589
1,5247,528708,395289
1,5256,106128,397989
1,5265,213624,400689
1,5274,321916,403389
1,5283,431980,406089
1,5292,434368,408789
1,5301,218376,411489
1,5310,328472,414189
1,5319,330896,416889
1,5328,332720,419589
1,5337,333944,422290
1,5346,111720,424989
1,5355,336400,427689
1,5364,337632,430390
1,5373,112960,433089
1,5382,226952,435789
1,5391,113792,438490
1,5400,228624,441190
1,5409,344528,443889
1,5418,230312,446589
1,5427,115480,449290
1,5436,232432,451989
1,5445,349608,454689
1,5454,116968,457389
1,5463,351544,460089
1,5472,235008,462789
1,5481,353488,465489
1,5490,118264,468189
1,5499,118480,470890
1,5508,237608,473589
1,5517,238480,476290
1,5526,119584,478989
1,5535,239800,481690
1,5544,120232,484389
1,5553,241120,487089
1,5562,241568,489789
1,5571,242016,492489
1,5580,121344,495189
1,5598,243800,500590
1,5607,122232,503289
1,5616,122456,505989
1,5625,245600,508690
1,5634,246040,511389
1,5643,246496,514089
1,5652,247408,516790
1,5661,123816,519490
1,5670,248768,522189
1,5679,124496,524889
1,5697,250608,530289
1,5706,125424,532990
1,5715,125880,535690
1,5724,252456,538389
1,5733,252920,541089
1,5751,126808,546489
1,5760,381816,549189
1,5769,127512,551890
1,5778,255248,554589
1,5787,255720,557289
1,5796,128208,559989
1,5805,128448,562689
1,5814,128448,565389
1,5841,129160,573489
1,5850,129632,576190
1,5859,129632,578890
1,5868,129864,581589
1,5877,259976,584289
1,5904,261416,592390
1,5913,130832,595089
1,5922,130832,597789
1,5931,131064,600490
1,5940,131320,603189
1,5949,131552,605889
1,5958,263336,608589
1,5967,131784,611289
1,5976,132040,613989
1,5985,264792,616689
1,6003,132768,622089
1,6012,133008,624789
1,6030,266760,630189
1,6039,133504,632889
1,6048,133744,635589
1,6057,133744,638290
1,6075,134248,643689
1,6084,134248,646389
1,6093,134472,649089
1,6102,134728,651789
1,6156,135216,667990
1,6165,135488,670690
1,6183,135488,676089
1,6210,135976,684189
1,6219,135976,686889
1,6237,136224,692289
1,6246,136224,694989
1,6255,136480,697690
1,6273,136224,703089
1,6300,136480,711190
1,6309,136480,713889
1,6318,136720,716590
1,6327,136720,719289
1,6336,136976,721989
1,6372,137480,732789
1,6390,275208,738189
1,6408,275720,743589
1,6435,137992,751689
1,6444,138232,754389
