densidade,batch_id,id,timestamp,hour
7128498,7758,1,2021-06-29T02:10:48,6.419999999999998
7251170,7767,1,2021-06-29T02:55:48,7.169999999999998
7407617.5,7776,1,2021-06-29T03:40:48,7.919999999999998
7545590,7785,1,2021-06-29T04:25:48,8.669999999999998
7710822,7794,1,2021-06-29T05:10:48,9.419999999999998
7884156.5,7803,1,2021-06-29T05:55:48,10.169999999999998
8035452,7812,1,2021-06-29T06:40:48,10.919999999999998
8182034.5,7821,1,2021-06-29T07:25:48,11.669999999999998
8383682.5,7830,1,2021-06-29T08:10:48,12.419999999999998
8564248,7839,1,2021-06-29T08:55:48,13.169999999999998
8767188,7848,1,2021-06-29T09:40:48,13.919999999999998
8960718,7857,1,2021-06-29T10:25:48,14.669999999999998
9201301,7866,1,2021-06-29T11:10:48,15.419999999999998
9452880,7875,1,2021-06-29T11:55:48,16.169999999999998
9650483,7884,1,2021-06-29T12:40:48,16.919999999999998
9886336,7893,1,2021-06-29T13:25:48,17.669999999999998
10151528,7902,1,2021-06-29T14:10:48,18.419999999999998
10393253,7911,1,2021-06-29T14:55:48,19.169999999999998
10695191,7920,1,2021-06-29T15:40:48,19.919999999999998
11022674,7929,1,2021-06-29T16:25:48,20.669999999999998
11334844,7938,1,2021-06-29T17:10:48,21.419999999999998
11624512,7947,1,2021-06-29T17:55:48,22.169999999999998
12007461,7956,1,2021-06-29T18:40:48,22.919999999999998
12368440,7965,1,2021-06-29T19:25:48,23.669999999999998
12793948,7974,1,2021-06-29T20:10:48,24.419999999999998
13150680,7983,1,2021-06-29T20:55:48,25.169999999999998
13540678,7992,1,2021-06-29T21:40:48,25.919999999999998
13932876,8001,1,2021-06-29T22:25:48,26.669999999999998
14324778,8010,1,2021-06-29T23:10:48,27.419999999999998
14739522,8019,1,2021-06-29T23:55:48,28.169999999999998
15219707,8028,1,2021-06-30T00:40:48,28.919999999999998
15657862,8037,1,2021-06-30T01:25:48,29.669999999999998
16120258,8046,1,2021-06-30T02:10:48,30.419999999999998
16656972,8055,1,2021-06-30T02:55:48,31.169999999999998
17072472,8064,1,2021-06-30T03:40:48,31.919999999999998
17542140,8073,1,2021-06-30T04:25:48,32.67
18090812,8082,1,2021-06-30T05:10:48,33.42
18590358,8091,1,2021-06-30T05:55:48,34.17
19031334,8100,1,2021-06-30T06:40:48,34.92
19553718,8109,1,2021-06-30T07:25:48,35.67
19966500,8118,1,2021-06-30T08:10:48,36.42
20347816,8127,1,2021-06-30T08:55:48,37.17
20929920,8136,1,2021-06-30T09:40:48,37.92
21365368,8145,1,2021-06-30T10:25:48,38.67
21764332,8154,1,2021-06-30T11:10:48,39.42
22279322,8163,1,2021-06-30T11:55:48,40.17
22650916,8172,1,2021-06-30T12:40:48,40.92
23142556,8181,1,2021-06-30T13:25:48,41.67
23621648,8190,1,2021-06-30T14:10:48,42.42
19596516,8199,1,2021-06-30T14:55:48,43.17
8757421,8208,1,2021-06-30T15:50:48,44.08666666666666
8943116,8217,1,2021-06-30T16:35:48,44.83666666666666
9136198,8226,1,2021-06-30T17:20:48,45.58666666666666
9332356,8235,1,2021-06-30T18:05:48,46.33666666666666
9508609,8244,1,2021-06-30T18:50:48,47.08666666666666
9756756,8253,1,2021-06-30T19:35:48,47.83666666666666
9990882,8262,1,2021-06-30T20:20:48,48.58666666666666
10016276,8271,1,2021-06-30T21:05:48,49.33666666666666
10041865,8280,1,2021-06-30T21:50:48,50.08666666666666
