ph,batch_id,id,timestamp,hour
8.31,7686,1,2021-06-28T20:10:48,0.41999999999999815
8.32,7695,1,2021-06-28T20:55:48,1.1699999999999982
8.59,7704,1,2021-06-28T21:40:48,1.9199999999999982
8.76,7713,1,2021-06-28T22:25:48,2.669999999999998
8.87,7722,1,2021-06-28T23:10:48,3.419999999999998
8.96,7731,1,2021-06-28T23:55:48,4.169999999999998
9.04,7740,1,2021-06-29T00:40:48,4.919999999999998
9.1,7749,1,2021-06-29T01:25:48,5.669999999999998
9.16,7758,1,2021-06-29T02:10:48,6.419999999999998
9.2,7767,1,2021-06-29T02:55:48,7.169999999999998
9.24,7776,1,2021-06-29T03:40:48,7.919999999999998
9.27,7785,1,2021-06-29T04:25:48,8.669999999999998
9.31,7794,1,2021-06-29T05:10:48,9.419999999999998
9.32,7803,1,2021-06-29T05:55:48,10.169999999999998
9.34,7812,1,2021-06-29T06:40:48,10.919999999999998
9.32,7821,1,2021-06-29T07:25:48,11.669999999999998
9.34,7830,1,2021-06-29T08:10:48,12.419999999999998
9.35,7839,1,2021-06-29T08:55:48,13.169999999999998
9.37,7848,1,2021-06-29T09:40:48,13.919999999999998
9.37,7857,1,2021-06-29T10:25:48,14.669999999999998
9.39,7866,1,2021-06-29T11:10:48,15.419999999999998
9.41,7875,1,2021-06-29T11:55:48,16.169999999999998
9.44,7884,1,2021-06-29T12:40:48,16.919999999999998
9.47,7893,1,2021-06-29T13:25:48,17.669999999999998
9.48,7902,1,2021-06-29T14:10:48,18.419999999999998
9.51,7911,1,2021-06-29T14:55:48,19.169999999999998
9.51,7920,1,2021-06-29T15:40:48,19.919999999999998
9.52,7929,1,2021-06-29T16:25:48,20.669999999999998
9.53,7938,1,2021-06-29T17:10:48,21.419999999999998
9.55,7947,1,2021-06-29T17:55:48,22.169999999999998
9.52,7956,1,2021-06-29T18:40:48,22.919999999999998
9.43,7965,1,2021-06-29T19:25:48,23.669999999999998
9.3,7974,1,2021-06-29T20:10:48,24.419999999999998
9.18,7983,1,2021-06-29T20:55:48,25.169999999999998
9.07,7992,1,2021-06-29T21:40:48,25.919999999999998
9.14,8001,1,2021-06-29T22:25:48,26.669999999999998
9.23,8010,1,2021-06-29T23:10:48,27.419999999999998
9.32,8019,1,2021-06-29T23:55:48,28.169999999999998
9.39,8028,1,2021-06-30T00:40:48,28.919999999999998
9.47,8037,1,2021-06-30T01:25:48,29.669999999999998
9.53,8046,1,2021-06-30T02:10:48,30.419999999999998
9.58,8055,1,2021-06-30T02:55:48,31.169999999999998
9.62,8064,1,2021-06-30T03:40:48,31.919999999999998
9.64,8073,1,2021-06-30T04:25:48,32.67
9.68,8082,1,2021-06-30T05:10:48,33.42
9.7,8091,1,2021-06-30T05:55:48,34.17
9.73,8100,1,2021-06-30T06:40:48,34.92
9.76,8109,1,2021-06-30T07:25:48,35.67
9.78,8118,1,2021-06-30T08:10:48,36.42
9.81,8127,1,2021-06-30T08:55:48,37.17
9.82,8136,1,2021-06-30T09:40:48,37.92
9.84,8145,1,2021-06-30T10:25:48,38.67
9.86,8154,1,2021-06-30T11:10:48,39.42
9.88,8163,1,2021-06-30T11:55:48,40.17
9.89,8172,1,2021-06-30T12:40:48,40.92
9.9,8181,1,2021-06-30T13:25:48,41.67
9.89,8190,1,2021-06-30T14:10:48,42.42
9.8,8199,1,2021-06-30T14:55:48,43.17
9.36,8208,1,2021-06-30T15:50:48,44.08666666666666
9.35,8217,1,2021-06-30T16:35:48,44.83666666666666
9.39,8226,1,2021-06-30T17:20:48,45.58666666666666
9.34,8235,1,2021-06-30T18:05:48,46.33666666666666
9.15,8244,1,2021-06-30T18:50:48,47.08666666666666
8.93,8253,1,2021-06-30T19:35:48,47.83666666666666
8.91,8262,1,2021-06-30T20:20:48,48.58666666666666
8.9,8271,1,2021-06-30T21:05:48,49.33666666666666
8.81,8280,1,2021-06-30T21:50:48,50.08666666666666
8.84,8289,1,2021-06-30T22:35:48,50.83666666666666
8.9,8298,1,2021-06-30T23:20:48,51.58666666666666
8.99,8307,1,2021-07-01T00:05:48,52.33666666666666
