Lambda	440	470	495	530	595	634	660	684	branco	full
nm	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a
194.15242	0.01153426431	0.00731053669	0.008760420606	0.00965327397	0.01022118796	0.006450734101	0.00575179467	0.003734310623	0.01898893155	0.01065208856
194.3543701	-9.408046026E-6	5.905840662E-4	1.107124917E-4	8.578593261E-4	0.00122371316	0.001124827657	0.001835878938	0.001697413856	0.009667349979	0.005833286326
194.5563354	1.034885063E-4	0.001437636907	0.002259006025	0.001649729442	2.334250457E-4	-4.250392667E-4	-2.206811041E-4	0.003678505076	0.009297897108	0.005016062874
194.758316	-0.001900425297	8.164648316E-4	0.001665398595	6.881728768E-4	4.597766092E-4	0.001012110151	-0.002361757448	0.003790115938	0.009439994581	0.005072422791
194.9603271	0.003095247084	0.001776457997	0.00686653005	0.005863609724	0.004505810793	0.003886408871	0.005329214036	0.00507364003	0.01543649938	0.008735839278
195.1623383	0.004562902264	0.003639974399	0.004972639959	0.005665642209	0.004109695554	0.00284377113	0.004596740473	0.002757716225	0.0159764681	0.008707659319
195.3643799	-0.002549580298	-0.002854097402	-0.002207183046	-0.001998529304	-0.004180430435	-0.001101344824	-0.003967564553	0.003259964753	0.003727684729	0.001493546763
195.5664215	3.292816109E-4	0.002058808925	0.00423769746	0.004195026122	0.003572110552	0.001547518652	4.554482293E-4	0.003483186243	0.01393026859	0.005776925944
195.7684937	0.007131298538	0.004148206208	0.007347069681	0.008069533855	0.004307753406	0.004506355617	0.00549824629	0.002422883874	0.01685747132	0.007495913655
195.9705811	0.002333195414	5.905840662E-4	0.005311843939	0.002073945478	0.001987649594	0.003238282632	0.002004911425	1.627657184E-4	0.01233877894	0.003127994249
196.1726685	0.001627591904	0.00242586527	0.005085708108	0.003459718311	0.002581822453	0.004985405598	0.002089427551	0.001585803111	0.01407236513	0.002930733142
196.3747864	0.00168404018	0.00160704751	0.005820650607	0.004308150616	0.001421770779	0.002928309375	0.001159749692	-9.812447242E-4	0.01034941711	0.004170658998
196.5769196	-0.001618183916	-0.001724693691	5.417845387E-5	0.00193254021	4.597766092E-4	-3.405010793E-4	-0.001460251631	-3.394827654E-4	0.00361400703	-7.326832856E-4
196.779068	0.002813005587	0.005108199082	0.0033048857	0.003431437304	0.001421770779	0.002956488635	0.004568568431	-0.001455590595	0.01287874859	0.002789832652
196.9812317	0.003744402202	0.002115279203	0.001495796489	0.004053621087	0.002921349835	5.894190981E-4	0.003948783036	2.325224523E-5	0.007280116435	5.354224122E-4
197.1834259	1.034885063E-4	-8.776408504E-4	-0.00167010969	8.578593261E-4	-0.003048672574	-5.870708264E-5	5.963084986E-4	-6.74315088E-4	0.004864463117	-0.001437186496
197.3856201	0.001458247076	3.647033009E-4	-0.001443973626	0.003827372333	-0.0018886209	-0.003440235043	0.001779534854	0.00152999768	0.002050937153	0
197.5878296	0.007695781533	0.009089347906	0.004944372922	0.006231263746	0.002864761977	9.557512822E-4	0.006343408022	0.001167262672	0.01236719824	0.003663416486
197.7900696	0.004873367492	0.002510570455	0.002852613339	0.004590961151	6.012463709E-4	-1.150658791E-4	0.004117815755	0.002227565041	0.01114516146	0.001352646155
197.9923096	0.00399841927	-5.952899228E-4	-3.415598185E-4	7.447350072E-4	-0.002652557334	-0.002284879563	0.001047061407	0.001418386935	0.00560336886	-0.00216986984
198.1945801	0.003349264385	-4.541144299E-4	4.216497182E-4	6.598917535E-4	-0.00208667852	-1.150658791E-4	0.001187921735	0.002032246208	0.008019021712	0.003043453675
198.3968506	-0.002013321733	-0.004943494685	-0.00282905763	-0.003525707405	-0.005453657825	-0.005807304755	-0.002220897004	0.002143857069	-0.001615172252	3.945217759E-4
198.5991516	0.00363150565	0.001437636907	7.325869519E-4	0.002328475239	-2.475720248E-4	-1.99604081E-4	8.921151311E-5	0.003455283586	0.008303216659	0.002648931928
198.8014679	7.24419544E-4	-0.001047051395	0.001863267738	0.00133863755	-0.002001796616	-7.35012698E-4	3.709320736E-4	0.00281352154	0.005631788168	6.199628115E-4
199.0037994	-0.002182666678	7.035244489E-4	0.001778466627	-3.299458767E-4	-6.436872645E-4	-0.001552215195	-0.001629283885	0.00353899179	0.008786347695	0.002338950522
199.2061462	0.001627591904	7.882297505E-4	-6.524970522E-4	0.002158788731	0.002129119355	2.512663195E-4	-4.17885487E-4	0.002618202707	0.009781028144	0.003578876145
199.4085083	-9.408046026E-5	-0.003447034396	-2.284917427E-4	2.639567247E-4	-7.285691099E-4	-8.477302617E-4	-3.615413734E-4	0.004180753604	0.006427532993	0.001916248701
199.6108856	0.00363150565	0.002171749482	0.004294231534	0.004025339615	0.003006231738	0.002336541889	3.991041158E-4	0.003343672724	0.014441818	0.00662232982
199.8132782	0.003546833294	0.002821156522	0.003333152737	0.004675804637	0.002581822453	0.0020265684	0.003441686276	0.002953035058	0.01364607364	0.005917826667
200.015686	9.502126486E-4	0.00245410041	0.005283576902	0.001451761927	0.001676416257	0.001801133272	0.002117599593	0.002255467698	0.01202616468	0.003747956827
200.2181244	0.004026643466	0.004712908063	0.008110279217	0.004873772152	0.005354629364	0.005098123103	0.003807922825	0.001697413856	0.01589121111	0.009919404984
200.4205627	0.001119557419	9.576402954E-4	0.002513409127	0.003346594051	-5.588054191E-4	0.001491159899	4.836203007E-4	0.001446289592	0.0114009371	0.004875162151
200.6230316	0.002502540126	0.004825848155	0.005453179125	0.004223307595	0.003600404598	0.002590156393	0.002455664333	0.001641608542	0.01120200101	0.005861466285
